Dataset,UseTLS,TLSRatio,K,ef,Recall,Latency(ms/query),DecodingCalls,DistanceComputations,AvgDecodingPerQuery
mnist-784-euclidean,1,0.10,1,30,0.993000,0.3006,663393,148856,66.3393
mnist-784-euclidean,1,0.20,1,30,0.995000,0.3345,810190,160628,81.0190
mnist-784-euclidean,1,0.30,1,30,0.996000,0.4099,1104644,209738,110.4644
mnist-784-euclidean,0,0.00,1,40,0.997600,1.1146,4744013,782603,474.4013
mnist-784-euclidean,1,0.10,1,40,0.995000,0.3642,857412,148856,85.7412
mnist-784-euclidean,1,0.20,1,40,0.997000,0.4060,1021461,160628,102.1461
mnist-784-euclidean,1,0.30,1,40,0.997600,0.4853,1363615,209738,136.3615
mnist-784-euclidean,0,0.00,1,50,0.998500,1.3005,5539800,782603,553.9800
mnist-784-euclidean,1,0.10,1,50,0.995900,0.4235,1051111,148856,105.1111
mnist-784-euclidean,1,0.20,1,50,0.997900,0.4669,1229994,160628,122.9994
mnist-784-euclidean,1,0.30,1,50,0.998700,0.5579,1615075,209738,161.5075
mnist-784-euclidean,0,0.00,1,60,0.999000,1.4600,6294069,782603,629.4069
mnist-784-euclidean,1,0.10,1,60,0.996200,0.4806,1244384,148856,124.4384
mnist-784-euclidean,1,0.20,1,60,0.998000,0.5379,1436990,160628,143.6990
mnist-784-euclidean,1,0.30,1,60,0.999100,0.6416,1859578,209738,185.9578
mnist-784-euclidean,0,0.00,1,80,0.999100,1.8073,7702284,782603,770.2284
mnist-784-euclidean,1,0.10,1,80,0.997100,0.6010,1630345,148856,163.0345
mnist-784-euclidean,1,0.20,1,80,0.999000,0.6644,1846496,160628,184.6496
mnist-784-euclidean,1,0.30,1,80,0.999500,0.7755,2335471,209738,233.5471
mnist-784-euclidean,0,0.00,1,100,0.999600,2.0877,9011533,782603,901.1533
mnist-784-euclidean,1,0.10,1,100,0.997200,0.7221,2014952,148856,201.4952
mnist-784-euclidean,1,0.20,1,100,0.999000,0.8036,2250363,160628,225.0363
mnist-784-euclidean,1,0.30,1,100,0.999800,0.9136,2798879,209738,279.8879
