Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,200,0.965900,8922.291200
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,300,0.967300,13181.033500
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,400,0.969300,17920.594900
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,10,0.775200,1273.206900
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,20,0.877700,1964.496600
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,30,0.920500,2584.197200
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,40,0.940800,3146.865500
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,50,0.953900,3783.575200
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,60,0.961100,4716.022800
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,80,0.971800,6096.705800
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,100,0.977200,7183.730400
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,120,0.979400,8206.669800
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,150,0.983600,10178.370800
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,200,0.986000,13057.587300
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,300,0.987300,18904.277700
sift-128-euclidean,DeXOR,5,0,1,0.2000,1,400,0.987300,24505.043600
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,10,0.780900,1894.600700
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,20,0.884300,2838.553500
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,30,0.925700,3768.319900
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,40,0.945700,4701.078700
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,50,0.959400,5596.531400
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,60,0.968000,6835.019900
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,80,0.975900,8660.113700
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,100,0.981400,10316.907900
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,120,0.984600,12157.381500
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,150,0.986200,14642.657000
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,200,0.987900,18413.516300
sift-128-euclidean,DeXOR,5,0,1,0.3000,1,300,0.990000,26210.591200
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,10,0.784100,3355.969700
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,20,0.887600,5201.624100
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,30,0.928100,6908.196900
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,40,0.950400,8412.319200
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,50,0.963400,10079.985600
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,60,0.971600,11537.908000
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,80,0.979000,14806.420600
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,100,0.984400,17700.555500
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,120,0.986000,20550.617100
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,150,0.988000,24671.324300
sift-128-euclidean,DeXOR,5,0,1,0.5000,1,200,0.991800,31684.477100
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,10,0.785700,5689.948900
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,20,0.887900,8725.431400
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,30,0.928000,11593.989700
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,40,0.950200,14464.122300
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,50,0.964000,17082.991000
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,60,0.971800,19853.563100
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,80,0.980900,25121.622500
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,100,0.984000,29885.731400
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,120,0.987400,34316.223300
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,150,0.989600,42787.605000
sift-128-euclidean,DeXOR,5,1,0,0.0000,1,200,0.991300,54274.600600
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,10,0.738400,663.778900
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,20,0.849000,1072.420500
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,30,0.892700,1478.843500
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,40,0.915300,1836.562500
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,50,0.930000,2178.646400
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,60,0.939600,2639.140100
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,80,0.950400,3207.717200
sift-128-euclidean,DeXOR,5,1,1,0.1000,1,100,0.955000,4124.377100
