Dataset,IndexType,Param,K,Recall,QPS,Latency(us),IndexSizeKB,VectorsPerKB,VQ
mnist-784-euclidean,HNSWPQ_2,ef=250,10,0.977380,776.951636,1287.081400,32207.159180,1.862940,1447.414158
mnist-784-euclidean,HNSWPQ_2,ef=300,10,0.977490,701.908362,1424.687400,32207.159180,1.862940,1307.613053
mnist-784-euclidean,HNSWPQ_2,ef=350,10,0.977500,641.885686,1557.909800,32207.159180,1.862940,1195.794417
mnist-784-euclidean,HNSWPQ_2,ef=400,10,0.977510,592.759479,1687.024900,32207.159180,1.862940,1104.275249
mnist-784-euclidean,HNSWPQ_2,ef=500,10,0.977520,515.669361,1939.227100,32207.159180,1.862940,960.660998
mnist-784-euclidean,HNSWSQ_8,ef=10,1,0.957200,18781.106207,53.245000,54398.029297,1.102981,20715.205808
mnist-784-euclidean,HNSWSQ_8,ef=20,1,0.980800,12941.331767,77.271800,54398.029297,1.102981,14274.044778
mnist-784-euclidean,HNSWSQ_8,ef=30,1,0.984300,10035.606331,99.645200,54398.029297,1.102981,11069.084444
mnist-784-euclidean,HNSWSQ_8,ef=40,1,0.985600,8285.978964,120.685800,54398.029297,1.102981,9139.278467
mnist-784-euclidean,HNSWSQ_8,ef=60,1,0.987300,6268.841788,159.519100,54398.029297,1.102981,6914.414219
mnist-784-euclidean,HNSWSQ_8,ef=80,1,0.988100,5119.871553,195.317400,54398.029297,1.102981,5647.121727
mnist-784-euclidean,HNSWSQ_8,ef=100,1,0.988100,4357.486445,229.490100,54398.029297,1.102981,4806.225337
mnist-784-euclidean,HNSWSQ_8,ef=150,1,0.988300,3243.833796,308.277200,54398.029297,1.102981,3577.887477
mnist-784-euclidean,HNSWSQ_8,ef=200,1,0.988300,2617.780489,382.003000,54398.029297,1.102981,2887.362490
mnist-784-euclidean,HNSWSQ_8,ef=250,1,0.988400,2210.703475,452.344700,54398.029297,1.102981,2438.364224
mnist-784-euclidean,HNSWSQ_8,ef=300,1,0.988500,1921.674470,520.379500,54398.029297,1.102981,2119.570685
mnist-784-euclidean,HNSWSQ_8,ef=350,1,0.988600,1701.487032,587.721200,54398.029297,1.102981,1876.708094
mnist-784-euclidean,HNSWSQ_8,ef=400,1,0.988600,1531.613342,652.906300,54398.029297,1.102981,1689.340619
mnist-784-euclidean,HNSWSQ_8,ef=500,1,0.988600,1273.471837,785.254900,54398.029297,1.102981,1404.615410
mnist-784-euclidean,HNSWSQ_8,ef=10,10,0.924590,18631.862348,53.671500,54398.029297,1.102981,20550.592647
mnist-784-euclidean,HNSWSQ_8,ef=20,10,0.972850,12762.427414,78.355000,54398.029297,1.102981,14076.716652
mnist-784-euclidean,HNSWSQ_8,ef=30,10,0.983450,9896.443614,101.046400,54398.029297,1.102981,10915.590592
mnist-784-euclidean,HNSWSQ_8,ef=40,10,0.987240,8181.538522,122.226400,54398.029297,1.102981,9024.082631
mnist-784-euclidean,HNSWSQ_8,ef=60,10,0.989830,6200.389136,161.280200,54398.029297,1.102981,6838.912236
mnist-784-euclidean,HNSWSQ_8,ef=80,10,0.990520,5073.265565,197.111700,54398.029297,1.102981,5595.716202
mnist-784-euclidean,HNSWSQ_8,ef=100,10,0.990840,4327.262184,231.093000,54398.029297,1.102981,4772.888548
mnist-784-euclidean,HNSWSQ_8,ef=150,10,0.991100,3224.441785,310.131200,54398.029297,1.102981,3556.498454
mnist-784-euclidean,HNSWSQ_8,ef=200,10,0.991230,2605.056728,383.868800,54398.029297,1.102981,2873.328422
mnist-784-euclidean,HNSWSQ_8,ef=250,10,0.991260,2200.173550,454.509600,54398.029297,1.102981,2426.749915
mnist-784-euclidean,HNSWSQ_8,ef=300,10,0.991400,1913.899774,522.493400,54398.029297,1.102981,2110.995341
mnist-784-euclidean,HNSWSQ_8,ef=350,10,0.991410,1696.137623,589.574800,54398.029297,1.102981,1870.807798
mnist-784-euclidean,HNSWSQ_8,ef=400,10,0.991420,1526.356591,655.154900,54398.029297,1.102981,1683.542523
mnist-784-euclidean,HNSWSQ_8,ef=500,10,0.991430,1269.856750,787.490400,54398.029297,1.102981,1400.628037
mnist-784-euclidean,HNSWPQ_1,ef=10,1,0.963900,827.931152,1207.829900,55175.909180,1.087431,900.318089
mnist-784-euclidean,HNSWPQ_1,ef=20,1,0.986400,759.741077,1316.237900,55175.909180,1.087431,826.166081
mnist-784-euclidean,HNSWPQ_1,ef=30,1,0.990000,706.687211,1415.053200,55175.909180,1.087431,768.473657
mnist-784-euclidean,HNSWPQ_1,ef=40,1,0.991500,663.672927,1506.766300,55175.909180,1.087431,721.698585
mnist-784-euclidean,HNSWPQ_1,ef=60,1,0.992700,597.535048,1673.542000,55175.909180,1.087431,649.778199
mnist-784-euclidean,HNSWPQ_1,ef=80,1,0.993300,547.821113,1825.413400,55175.909180,1.087431,595.717719
mnist-784-euclidean,HNSWPQ_1,ef=100,1,0.993400,508.100520,1968.114500,55175.909180,1.087431,552.524310
mnist-784-euclidean,HNSWPQ_1,ef=150,1,0.993900,435.854584,2294.343200,55175.909180,1.087431,473.961832
mnist-784-euclidean,HNSWPQ_1,ef=200,1,0.994100,385.776438,2592.174900,55175.909180,1.087431,419.505299
mnist-784-euclidean,HNSWPQ_1,ef=250,1,0.994100,348.449296,2869.858000,55175.909180,1.087431,378.914604
mnist-784-euclidean,HNSWPQ_1,ef=300,1,0.994100,319.395061,3130.918800,55175.909180,1.087431,347.320124
mnist-784-euclidean,HNSWPQ_1,ef=350,1,0.994200,295.812321,3380.521800,55175.909180,1.087431,321.675520
mnist-784-euclidean,HNSWPQ_1,ef=400,1,0.994300,275.697213,3627.167600,55175.909180,1.087431,299.801726
mnist-784-euclidean,HNSWPQ_1,ef=500,1,0.994300,243.931705,4099.508100,55175.909180,1.087431,265.258924
mnist-784-euclidean,HNSWPQ_1,ef=10,10,0.927070,830.753014,1203.727200,55175.909180,1.087431,903.386670
mnist-784-euclidean,HNSWPQ_1,ef=20,10,0.977330,761.568453,1313.079600,55175.909180,1.087431,828.153226
mnist-784-euclidean,HNSWPQ_1,ef=30,10,0.988170,708.427525,1411.577000,55175.909180,1.087431,770.366127
mnist-784-euclidean,HNSWPQ_1,ef=40,10,0.991800,665.353658,1502.960100,55175.909180,1.087431,723.526265
mnist-784-euclidean,HNSWPQ_1,ef=60,10,0.994440,599.118242,1669.119600,55175.909180,1.087431,651.499813
mnist-784-euclidean,HNSWPQ_1,ef=80,10,0.995140,549.170895,1820.926800,55175.909180,1.087431,597.185514
mnist-784-euclidean,HNSWPQ_1,ef=100,10,0.995440,509.516962,1962.643200,55175.909180,1.087431,554.064594
mnist-784-euclidean,HNSWPQ_1,ef=150,10,0.995840,436.749234,2289.643400,55175.909180,1.087431,474.934703
mnist-784-euclidean,HNSWPQ_1,ef=200,10,0.996100,386.909655,2584.582700,55175.909180,1.087431,420.737594
mnist-784-euclidean,HNSWPQ_1,ef=250,10,0.996110,349.456279,2861.588300,55175.909180,1.087431,380.009629
mnist-784-euclidean,HNSWPQ_1,ef=300,10,0.996130,319.977361,3125.221100,55175.909180,1.087431,347.953336
mnist-784-euclidean,HNSWPQ_1,ef=350,10,0.996250,296.026627,3378.074500,55175.909180,1.087431,321.908563
mnist-784-euclidean,HNSWPQ_1,ef=400,10,0.996260,276.034993,3622.729100,55175.909180,1.087431,300.169037
mnist-784-euclidean,HNSWPQ_1,ef=500,10,0.996260,244.223062,4094.617400,55175.909180,1.087431,265.575755
mnist-784-euclidean,HNSWSQ_4,ef=10,1,0.896300,3949.863591,253.173300,31429.279297,1.909048,7540.478840
mnist-784-euclidean,HNSWSQ_4,ef=20,1,0.927600,2830.313106,353.317800,31429.279297,1.909048,5403.203324
mnist-784-euclidean,HNSWSQ_4,ef=30,1,0.936100,2245.155236,445.403500,31429.279297,1.909048,4286.108913
mnist-784-euclidean,HNSWSQ_4,ef=40,1,0.939200,1880.065366,531.896400,31429.279297,1.909048,3589.134861
mnist-784-euclidean,HNSWSQ_4,ef=60,1,0.940600,1447.499344,690.846600,31429.279297,1.909048,2763.345599
mnist-784-euclidean,HNSWSQ_4,ef=80,1,0.941700,1194.477833,837.185900,31429.279297,1.909048,2280.315413
mnist-784-euclidean,HNSWSQ_4,ef=100,1,0.941900,1025.524274,975.111000,31429.279297,1.909048,1957.774973
mnist-784-euclidean,HNSWSQ_4,ef=150,1,0.942500,774.464361,1291.215000,31429.279297,1.909048,1478.489571
mnist-784-euclidean,HNSWSQ_4,ef=200,1,0.942500,632.917041,1579.985900,31429.279297,1.909048,1208.268954
mnist-784-euclidean,HNSWSQ_4,ef=250,1,0.942800,539.991617,1851.880600,31429.279297,1.909048,1030.869869
mnist-784-euclidean,HNSWSQ_4,ef=300,1,0.942900,473.869598,2110.285200,31429.279297,1.909048,904.639767
mnist-784-euclidean,HNSWSQ_4,ef=350,1,0.942900,423.782738,2359.699700,31429.279297,1.909048,809.021551
mnist-784-euclidean,HNSWSQ_4,ef=400,1,0.942900,384.610266,2600.034600,31429.279297,1.909048,734.239426
mnist-784-euclidean,HNSWSQ_4,ef=500,1,0.942900,326.014131,3067.351700,31429.279297,1.909048,622.376597
mnist-784-euclidean,HNSWSQ_4,ef=10,10,0.873410,3934.114596,254.186800,31429.279297,1.909048,7510.413253
mnist-784-euclidean,HNSWSQ_4,ef=20,10,0.931590,2818.928655,354.744700,31429.279297,1.909048,5381.469861
mnist-784-euclidean,HNSWSQ_4,ef=30,10,0.945990,2236.706137,447.086000,31429.279297,1.909048,4269.979180
mnist-784-euclidean,HNSWSQ_4,ef=40,10,0.951250,1872.870663,533.939700,31429.279297,1.909048,3575.399828
mnist-784-euclidean,HNSWSQ_4,ef=60,10,0.954320,1442.854451,693.070600,31429.279297,1.909048,2754.478276
mnist-784-euclidean,HNSWSQ_4,ef=80,10,0.955590,1191.096270,839.562700,31429.279297,1.909048,2273.859846
mnist-784-euclidean,HNSWSQ_4,ef=100,10,0.956030,1023.160151,977.364100,31429.279297,1.909048,1953.261749
mnist-784-euclidean,HNSWSQ_4,ef=150,10,0.956640,773.244742,1293.251600,31429.279297,1.909048,1476.161260
mnist-784-euclidean,HNSWSQ_4,ef=200,10,0.956840,632.043173,1582.170400,31429.279297,1.909048,1206.600700
mnist-784-euclidean,HNSWSQ_4,ef=250,10,0.957050,539.333396,1854.140700,31429.279297,1.909048,1029.613293
mnist-784-euclidean,HNSWSQ_4,ef=300,10,0.957060,473.327879,2112.700400,31429.279297,1.909048,903.605599
mnist-784-euclidean,HNSWSQ_4,ef=350,10,0.957080,423.356242,2362.076900,31429.279297,1.909048,808.207350
mnist-784-euclidean,HNSWSQ_4,ef=400,10,0.957120,384.214353,2602.713800,31429.279297,1.909048,733.483609
mnist-784-euclidean,HNSWSQ_4,ef=500,10,0.957140,325.813376,3069.241700,31429.279297,1.909048,621.993345
sift-128-euclidean,HNSWALP0.000000,ef=10,1,0.783000,5508.922526,181.523700,230564.750000,4.337176,23893.168953
sift-128-euclidean,HNSWALP0.000000,ef=20,1,0.883400,3529.843236,283.298700,230564.750000,4.337176,15309.552896
sift-128-euclidean,HNSWALP0.000000,ef=30,1,0.927200,2638.261386,379.037500,230564.750000,4.337176,11442.605107
sift-128-euclidean,HNSWALP0.000000,ef=40,1,0.949200,2116.180869,472.549400,230564.750000,4.337176,9178.249794
sift-128-euclidean,HNSWALP0.000000,ef=60,1,0.971300,1529.204674,653.934700,230564.750000,4.337176,6632.430475
sift-128-euclidean,HNSWALP0.000000,ef=80,1,0.981000,1205.346289,829.637100,230564.750000,4.337176,5227.799520
sift-128-euclidean,HNSWALP0.000000,ef=100,1,0.984900,1000.391353,999.608800,230564.750000,4.337176,4338.873801
sift-128-euclidean,HNSWALP0.000000,ef=150,1,0.988700,710.825164,1406.815700,230564.750000,4.337176,3082.974147
sift-128-euclidean,HNSWALP0.000000,ef=200,1,0.990800,557.670366,1793.174000,230564.750000,4.337176,2418.714767
sift-128-euclidean,HNSWALP0.000000,ef=250,1,0.992300,461.763362,2165.611400,230564.750000,4.337176,2002.749170
sift-128-euclidean,HNSWALP0.000000,ef=300,1,0.991000,396.086852,2524.698800,230564.750000,4.337176,1717.898560
sift-128-euclidean,HNSWALP0.000000,ef=350,1,0.990500,348.206983,2871.855100,230564.750000,4.337176,1510.235121
sift-128-euclidean,HNSWALP0.000000,ef=400,1,0.991800,311.485327,3210.424100,230564.750000,4.337176,1350.966819
sift-128-euclidean,HNSWALP0.000000,ef=500,1,0.992700,258.786715,3864.186000,230564.750000,4.337176,1122.403640
sift-128-euclidean,HNSWALP0.000000,ef=10,10,0.707920,5494.499457,182.000200,230564.750000,4.337176,23830.613555
sift-128-euclidean,HNSWALP0.000000,ef=20,10,0.837040,3510.740408,284.840200,230564.750000,4.337176,15226.700561
sift-128-euclidean,HNSWALP0.000000,ef=30,10,0.895010,2627.060403,380.653600,230564.750000,4.337176,11394.024470
sift-128-euclidean,HNSWALP0.000000,ef=40,10,0.927580,2108.003118,474.382600,230564.750000,4.337176,9142.781445
sift-128-euclidean,HNSWALP0.000000,ef=60,10,0.959840,1525.759473,655.411300,230564.750000,4.337176,6617.488031
sift-128-euclidean,HNSWALP0.000000,ef=80,10,0.975660,1203.615227,830.830300,230564.750000,4.337176,5220.291596
sift-128-euclidean,HNSWALP0.000000,ef=100,10,0.983310,998.854813,1001.146500,230564.750000,4.337176,4332.209555
sift-128-euclidean,HNSWALP0.000000,ef=150,10,0.992190,710.000758,1408.449200,230564.750000,4.337176,3079.398556
sift-128-euclidean,HNSWALP0.000000,ef=200,10,0.995130,556.984530,1795.382000,230564.750000,4.337176,2415.740178
sift-128-euclidean,HNSWALP0.000000,ef=250,10,0.997060,461.592716,2166.412000,230564.750000,4.337176,2002.009051
