Dataset,IndexType,ActualVariant,IndexFile,Component,Bytes,GiB,FileSizeBytes,N,Dim,Note
mnist-784-euclidean,HNSW,hnswlib-float,mnist-784-euclidean_train.fvecs_hnsw_float.bin,Original Metadata,480000,0.000447,197063120,60000,784,"labels"
mnist-784-euclidean,HNSW,hnswlib-float,mnist-784-euclidean_train.fvecs_hnsw_float.bin,Original Metadata,96,0.000000,197063120,60000,784,"serialized headers and small fields"
mnist-784-euclidean,HNSW+PQ,mnist-784-euclidean_train.fvecs_HNSWPQ_1,mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Quantized Vector Codes,47040000,0.043809,56500131,60000,784,""
mnist-784-euclidean,HNSW+PQ,mnist-784-euclidean_train.fvecs_HNSWPQ_1,mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Graph Structure,7937024,0.007392,56500131,60000,784,"Faiss HNSW neighbors array"
mnist-784-euclidean,HNSW+PQ,mnist-784-euclidean_train.fvecs_HNSWPQ_1,mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,720124,0.000671,56500131,60000,784,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
mnist-784-euclidean,HNSW+PQ,mnist-784-euclidean_train.fvecs_HNSWPQ_1,mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Quantizer Codebook,802816,0.000748,56500131,60000,784,"PQ centroids or SQ trained ranges"
mnist-784-euclidean,HNSW+PQ,mnist-784-euclidean_train.fvecs_HNSWPQ_1,mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,167,0.000000,56500131,60000,784,"serialized headers and small fields"
mnist-784-euclidean,HNSW+SQ,mnist-784-euclidean_train.fvecs_HNSWSQ_8,mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Quantized Vector Codes,47040000,0.043809,55703582,60000,784,""
mnist-784-euclidean,HNSW+SQ,mnist-784-euclidean_train.fvecs_HNSWSQ_8,mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Graph Structure,7937024,0.007392,55703582,60000,784,"Faiss HNSW neighbors array"
mnist-784-euclidean,HNSW+SQ,mnist-784-euclidean_train.fvecs_HNSWSQ_8,mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,720124,0.000671,55703582,60000,784,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
mnist-784-euclidean,HNSW+SQ,mnist-784-euclidean_train.fvecs_HNSWSQ_8,mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Quantizer Codebook,6308,0.000006,55703582,60000,784,"PQ centroids or SQ trained ranges"
mnist-784-euclidean,HNSW+SQ,mnist-784-euclidean_train.fvecs_HNSWSQ_8,mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,126,0.000000,55703582,60000,784,"serialized headers and small fields"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Vector Payloads,30123101,0.028054,43801167,60000,784,"compressed differential payloads"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Graph Structure,4991512,0.004649,43801167,60000,784,"compacted level-0 links and upper-level links"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Original Metadata,480000,0.000447,43801167,60000,784,"labels"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Compression Metadata,720000,0.000671,43801167,60000,784,"level0 start positions and prenode ids"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Lightweight Codebook,7485632,0.006972,43801167,60000,784,"two-level filtering PQ data and centroids"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Cache,22596000,0.021044,43801167,60000,784,"runtime 1% root/hub state cache"
mnist-784-euclidean,LVC,DeXOR,mnist-784-euclidean_DeXOR_chunlim_pq.bin,Original Metadata,922,0.000001,43801167,60000,784,"serialized headers and small fields"
sift-128-euclidean,HNSW,hnswlib-float,sift-128-euclidean_train.fvecs_hnsw_float.bin,Vector Payloads,512000000,0.476837,660565208,1000000,128,""
sift-128-euclidean,HNSW,hnswlib-float,sift-128-euclidean_train.fvecs_hnsw_float.bin,Graph Structure,140565112,0.130911,660565208,1000000,128,"level-0 links, upper-level links, and serialized upper-link size fields"
sift-128-euclidean,HNSW,hnswlib-float,sift-128-euclidean_train.fvecs_hnsw_float.bin,Original Metadata,8000000,0.007451,660565208,1000000,128,"labels"
sift-128-euclidean,HNSW,hnswlib-float,sift-128-euclidean_train.fvecs_hnsw_float.bin,Original Metadata,96,0.000000,660565208,1000000,128,"serialized headers and small fields"
sift-128-euclidean,HNSW+PQ,sift-128-euclidean_train.fvecs_HNSWPQ_1,sift-128-euclidean_train.fvecs_HNSWPQ_1.bin,Quantized Vector Codes,128000000,0.119209,272389475,1000000,128,""
sift-128-euclidean,HNSW+PQ,sift-128-euclidean_train.fvecs_HNSWPQ_1,sift-128-euclidean_train.fvecs_HNSWPQ_1.bin,Graph Structure,132258112,0.123175,272389475,1000000,128,"Faiss HNSW neighbors array"
sift-128-euclidean,HNSW+PQ,sift-128-euclidean_train.fvecs_HNSWPQ_1,sift-128-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,12000124,0.011176,272389475,1000000,128,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
sift-128-euclidean,HNSW+PQ,sift-128-euclidean_train.fvecs_HNSWPQ_1,sift-128-euclidean_train.fvecs_HNSWPQ_1.bin,Quantizer Codebook,131072,0.000122,272389475,1000000,128,"PQ centroids or SQ trained ranges"
sift-128-euclidean,HNSW+PQ,sift-128-euclidean_train.fvecs_HNSWPQ_1,sift-128-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,167,0.000000,272389475,1000000,128,"serialized headers and small fields"
sift-128-euclidean,HNSW+SQ,sift-128-euclidean_train.fvecs_HNSWSQ_8,sift-128-euclidean_train.fvecs_HNSWSQ_8.bin,Quantized Vector Codes,128000000,0.119209,272259422,1000000,128,""
sift-128-euclidean,HNSW+SQ,sift-128-euclidean_train.fvecs_HNSWSQ_8,sift-128-euclidean_train.fvecs_HNSWSQ_8.bin,Graph Structure,132258112,0.123175,272259422,1000000,128,"Faiss HNSW neighbors array"
sift-128-euclidean,HNSW+SQ,sift-128-euclidean_train.fvecs_HNSWSQ_8,sift-128-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,12000124,0.011176,272259422,1000000,128,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
sift-128-euclidean,HNSW+SQ,sift-128-euclidean_train.fvecs_HNSWSQ_8,sift-128-euclidean_train.fvecs_HNSWSQ_8.bin,Quantizer Codebook,1060,0.000001,272259422,1000000,128,"PQ centroids or SQ trained ranges"
sift-128-euclidean,HNSW+SQ,sift-128-euclidean_train.fvecs_HNSWSQ_8,sift-128-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,126,0.000000,272259422,1000000,128,"serialized headers and small fields"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Vector Payloads,125741440,0.117106,261229645,1000000,128,"compressed scaling-based payloads"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Graph Structure,97236864,0.090559,261229645,1000000,128,"compacted level-0 links and upper-level links"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Original Metadata,8000000,0.007451,261229645,1000000,128,"labels"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Compression Metadata,9000000,0.008382,261229645,1000000,128,"level0 start positions and uncompressed mask"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Lightweight Codebook,16131072,0.015023,261229645,1000000,128,"two-level filtering PQ data and centroids"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Cache,5120000,0.004768,261229645,1000000,128,"uncompressed vectors stored in the compacted index"
sift-128-euclidean,LVC,ALP,sift-128-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Original Metadata,269,0.000000,261229645,1000000,128,"serialized headers and small fields"
