Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Num_Rounds,Enable_Profiling,Recall,TimePerQuery(us),P99_Latency(us),QPS,Decoding_Calls,GetOriginalData_Calls,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,10,3,1,0.776900,1879.903800,3297.67,531.72,3663982,547892,366.398200,6.258653
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,20,3,1,0.879300,2960.100600,4684.67,337.74,5809630,863795,580.963000,6.297916
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,30,3,1,0.920500,3986.667633,5944.00,250.79,7852320,1163252,785.232000,6.322796
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,40,3,1,0.942200,4992.448200,7105.00,200.27,9850897,1456310,985.089700,6.337089
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,50,3,1,0.955900,5987.486500,8140.33,166.99,11814627,1744551,1181.462700,6.345530
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,60,3,1,0.965300,6972.446967,9252.00,143.40,13766216,2029753,1376.621600,6.355603
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,80,3,1,0.972500,8915.171200,11509.33,112.16,17600613,2590834,1760.061300,6.367172
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,100,3,1,0.976500,10818.934900,13855.33,92.42,21370269,3142159,2137.026900,6.375129
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,120,3,1,0.980600,12796.872300,16232.67,78.15,25081007,3684166,2508.100700,6.381980
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,150,3,1,0.983000,16045.405267,20220.00,62.32,30544077,4481455,3054.407700,6.390039
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,200,3,1,0.985100,20765.173867,26048.33,48.16,39443271,5778977,3944.327100,6.399962
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,300,3,1,0.987500,29674.759400,36789.00,33.70,56637311,8284256,5663.731100,6.411770
sift-128-euclidean,DeXOR,-1,1,1,0.2000,1,400,3,1,0.986800,38374.608733,47218.67,26.06,73322123,10711630,7332.212300,6.420392
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,10,3,1,0.456000,29197.136333,48689.33,34.25,815223,454141,815.223000,0.795088
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,20,3,1,0.608000,45128.265667,70519.00,22.16,1259485,677330,1259.485000,0.859485
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,30,3,1,0.699000,59061.394000,87862.67,16.93,1649895,873482,1649.895000,0.888871
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,40,3,1,0.740000,71304.029000,101365.67,14.02,2016063,1057482,2016.063000,0.906475
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,50,3,1,0.776000,84790.124667,119875.67,11.79,2377754,1239199,2377.754000,0.918783
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,60,3,1,0.802000,96927.707667,135788.67,10.32,2727749,1415066,2727.749000,0.927648
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,80,3,1,0.847000,122586.618000,170091.00,8.16,3429693,1767814,3429.693000,0.940076
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,100,3,1,0.873000,146483.238667,196063.00,6.83,4102968,2106105,4102.968000,0.948131
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,120,3,1,0.893000,170634.263667,222266.67,5.86,4763505,2438032,4763.505000,0.953832
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,150,3,1,0.905000,205073.814000,265200.67,4.88,5736972,2927182,5736.972000,0.959896
gist-960-euclidean,DeXOR,2,0,0,0.0000,1,200,3,1,0.928000,258071.930000,330395.00,3.88,7290751,3707854,7290.751000,0.966299
