Dataset,Algorithm,ChainMaxLength,Vectors,Dim,BuildTime(s),CompressTime(s),DataCompressionRatio,IndexCompressionRatio,IndexFile
fashion-mnist-784-euclidean,DeXOR,7,60000,784,4.193264,38.141502,7.688969,7.180577,fashion-mnist-784-euclidean_DeXOR_ch7_pq.bin
fashion-mnist-784-euclidean,DeXOR,8,60000,784,4.260601,35.459708,7.697238,7.187549,fashion-mnist-784-euclidean_DeXOR_ch8_pq.bin
fashion-mnist-784-euclidean,Gorilla,3,60000,784,3.913054,72.729403,4.727481,4.570251,fashion-mnist-784-euclidean_Gorilla_ch3_pq.bin
fashion-mnist-784-euclidean,Gorilla,4,60000,784,4.337094,72.595649,5.364794,5.147692,fashion-mnist-784-euclidean_Gorilla_ch4_pq.bin
fashion-mnist-784-euclidean,Gorilla,6,60000,784,3.719574,33.941198,5.795828,5.532612,fashion-mnist-784-euclidean_Gorilla_ch6_pq.bin
fashion-mnist-784-euclidean,Gorilla,7,60000,784,3.727563,28.608349,5.890511,5.617433,fashion-mnist-784-euclidean_Gorilla_ch7_pq.bin
fashion-mnist-784-euclidean,Gorilla,8,60000,784,3.797891,23.714659,5.938745,5.659691,fashion-mnist-784-euclidean_Gorilla_ch8_pq.bin
fashion-mnist-784-euclidean,Elf,3,60000,784,4.126903,75.725569,5.498017,5.267020,fashion-mnist-784-euclidean_Elf_ch3_pq.bin
fashion-mnist-784-euclidean,Elf,4,60000,784,3.940934,80.356240,5.573483,5.334234,fashion-mnist-784-euclidean_Elf_ch4_pq.bin
fashion-mnist-784-euclidean,Elf,6,60000,784,4.520743,41.730421,5.640560,5.394559,fashion-mnist-784-euclidean_Elf_ch6_pq.bin
fashion-mnist-784-euclidean,Elf,7,60000,784,4.200415,33.125590,5.651540,5.404219,fashion-mnist-784-euclidean_Elf_ch7_pq.bin
fashion-mnist-784-euclidean,Elf,8,60000,784,4.269072,28.716869,5.660826,5.412442,fashion-mnist-784-euclidean_Elf_ch8_pq.bin
fashion-mnist-784-euclidean,Camel,3,60000,784,4.413146,71.993343,3.863251,3.773659,fashion-mnist-784-euclidean_Camel_ch3_pq.bin
fashion-mnist-784-euclidean,Camel,4,60000,784,4.422076,74.271041,3.891440,3.799805,fashion-mnist-784-euclidean_Camel_ch4_pq.bin
fashion-mnist-784-euclidean,Camel,6,60000,784,4.391630,35.834070,3.921014,3.827326,fashion-mnist-784-euclidean_Camel_ch6_pq.bin
fashion-mnist-784-euclidean,Camel,7,60000,784,4.241217,30.773538,3.927611,3.833464,fashion-mnist-784-euclidean_Camel_ch7_pq.bin
fashion-mnist-784-euclidean,Camel,8,60000,784,4.381370,24.525011,3.933463,3.838858,fashion-mnist-784-euclidean_Camel_ch8_pq.bin
gist-960-euclidean,DeXOR,3,1000000,960,282.406883,32443.378624,1.180199,1.189898,gist-960-euclidean_DeXOR_ch3_pq.bin
gist-960-euclidean,DeXOR,4,1000000,960,258.373845,30814.667584,1.187021,1.196693,gist-960-euclidean_DeXOR_ch4_pq.bin
gist-960-euclidean,DeXOR,6,1000000,960,312.623143,15729.041519,1.187065,1.196733,gist-960-euclidean_DeXOR_ch6_pq.bin
gist-960-euclidean,DeXOR,7,1000000,960,283.469613,12167.103783,1.186777,1.196453,gist-960-euclidean_DeXOR_ch7_pq.bin
gist-960-euclidean,DeXOR,8,1000000,960,283.936343,9181.554936,1.186249,1.195928,gist-960-euclidean_DeXOR_ch8_pq.bin
gist-960-euclidean,Gorilla,3,1000000,960,259.734436,37902.022930,1.811321,1.815139,gist-960-euclidean_Gorilla_ch3_pq.bin
gist-960-euclidean,Gorilla,4,1000000,960,271.696669,31450.674458,1.912542,1.914692,gist-960-euclidean_Gorilla_ch4_pq.bin
gist-960-euclidean,Gorilla,6,1000000,960,252.584573,13972.982918,1.962717,1.963982,gist-960-euclidean_Gorilla_ch6_pq.bin
gist-960-euclidean,Gorilla,7,1000000,960,273.831996,9797.912890,1.970803,1.971896,gist-960-euclidean_Gorilla_ch7_pq.bin
gist-960-euclidean,Gorilla,8,1000000,960,264.332453,6022.288568,1.979646,1.980580,gist-960-euclidean_Gorilla_ch8_pq.bin
gist-960-euclidean,Elf,3,1000000,960,281.600657,35210.081536,1.863091,1.866073,gist-960-euclidean_Elf_ch3_pq.bin
gist-960-euclidean,Elf,4,1000000,960,276.619679,31302.725293,1.882751,1.885404,gist-960-euclidean_Elf_ch4_pq.bin
gist-960-euclidean,Elf,6,1000000,960,256.595732,15404.828227,1.896400,1.898821,gist-960-euclidean_Elf_ch6_pq.bin
gist-960-euclidean,Elf,7,1000000,960,268.442523,9391.209418,1.899439,1.901816,gist-960-euclidean_Elf_ch7_pq.bin
gist-960-euclidean,Elf,8,1000000,960,269.388989,6990.058920,1.901834,1.904158,gist-960-euclidean_Elf_ch8_pq.bin
gist-960-euclidean,Camel,3,1000000,960,274.796979,37056.746608,3.579081,3.526574,gist-960-euclidean_Camel_ch3_pq.bin
gist-960-euclidean,Camel,4,1000000,960,420.519839,28347.774658,3.579132,3.526686,gist-960-euclidean_Camel_ch4_pq.bin
gist-960-euclidean,Camel,6,1000000,960,288.243708,14074.456197,3.579109,3.526638,gist-960-euclidean_Camel_ch6_pq.bin
gist-960-euclidean,Camel,7,1000000,960,273.515938,9379.062170,3.579124,3.526676,gist-960-euclidean_Camel_ch7_pq.bin
gist-960-euclidean,Camel,8,1000000,960,259.069277,6336.315774,3.579118,3.526652,gist-960-euclidean_Camel_ch8_pq.bin
mnist-784-euclidean,DeXOR,3,60000,784,4.336028,56.126300,12.136611,10.497726,mnist-784-euclidean_DeXOR_ch3_pq.bin
mnist-784-euclidean,DeXOR,4,60000,784,5.555154,31.642366,12.266884,10.593379,mnist-784-euclidean_DeXOR_ch4_pq.bin
