Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.5000,1,30,0.991800,17088.606700
fashion-mnist-784-euclidean,Gorilla,-1,1,0,0.0000,1,10,0.961500,15637.891200
fashion-mnist-784-euclidean,Gorilla,-1,1,0,0.0000,1,20,0.985400,23183.055800
fashion-mnist-784-euclidean,Gorilla,-1,1,0,0.0000,1,30,0.991800,30102.692900
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,10,0.953400,2796.886900
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,20,0.977700,4565.893500
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,30,0.983700,6141.365200
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,40,0.986300,7730.832800
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,50,0.987900,9633.384000
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,60,0.988700,11292.014700
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,80,0.989700,14724.627500
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.1000,1,100,0.990300,18202.555100
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.2000,1,10,0.958700,3420.386000
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.2000,1,20,0.983600,5420.448800
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.2000,1,30,0.990200,7249.755800
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.3000,1,10,0.960200,4584.510100
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.3000,1,20,0.985100,7049.539600
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.3000,1,30,0.990900,9300.085000
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.5000,1,10,0.961500,7954.861000
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.5000,1,20,0.985400,11643.133300
fashion-mnist-784-euclidean,Gorilla,-1,1,1,0.5000,1,30,0.991800,15229.366200
fashion-mnist-784-euclidean,Elf,2,0,0,0.0000,1,10,0.961700,6630.191700
fashion-mnist-784-euclidean,Elf,2,0,0,0.0000,1,20,0.983300,9634.750700
fashion-mnist-784-euclidean,Elf,2,0,0,0.0000,1,30,0.990900,12356.046400
fashion-mnist-784-euclidean,Elf,2,0,1,0.1000,1,10,0.950600,1247.225900
fashion-mnist-784-euclidean,Elf,2,0,1,0.1000,1,20,0.976000,1845.850200
fashion-mnist-784-euclidean,Elf,2,0,1,0.1000,1,30,0.983400,2653.533300
fashion-mnist-784-euclidean,Elf,2,0,1,0.1000,1,40,0.986800,3070.492100
fashion-mnist-784-euclidean,Elf,2,0,1,0.1000,1,50,0.989100,3854.744300
fashion-mnist-784-euclidean,Elf,2,0,1,0.1000,1,60,0.990100,4402.853200
fashion-mnist-784-euclidean,Elf,2,0,1,0.2000,1,10,0.959300,1505.289800
fashion-mnist-784-euclidean,Elf,2,0,1,0.2000,1,20,0.980700,2248.257800
fashion-mnist-784-euclidean,Elf,2,0,1,0.2000,1,30,0.988500,3000.434600
fashion-mnist-784-euclidean,Elf,2,0,1,0.2000,1,40,0.991900,3592.396000
fashion-mnist-784-euclidean,Elf,2,0,1,0.3000,1,10,0.961300,2049.941000
fashion-mnist-784-euclidean,Elf,2,0,1,0.3000,1,20,0.982600,2976.764200
fashion-mnist-784-euclidean,Elf,2,0,1,0.3000,1,30,0.990600,3797.412600
fashion-mnist-784-euclidean,Elf,2,0,1,0.5000,1,10,0.961700,3456.911400
fashion-mnist-784-euclidean,Elf,2,0,1,0.5000,1,20,0.983400,4803.446100
fashion-mnist-784-euclidean,Elf,2,0,1,0.5000,1,30,0.991000,6097.546500
fashion-mnist-784-euclidean,Elf,2,1,0,0.0000,1,10,0.961700,3699.863300
fashion-mnist-784-euclidean,Elf,2,1,0,0.0000,1,20,0.983300,5674.392800
fashion-mnist-784-euclidean,Elf,2,1,0,0.0000,1,30,0.990900,7321.438500
fashion-mnist-784-euclidean,Elf,2,1,1,0.1000,1,10,0.950600,753.079900
fashion-mnist-784-euclidean,Elf,2,1,1,0.1000,1,20,0.976000,1133.170600
fashion-mnist-784-euclidean,Elf,2,1,1,0.1000,1,30,0.983400,1537.740800
fashion-mnist-784-euclidean,Elf,2,1,1,0.1000,1,40,0.986800,1946.252600
fashion-mnist-784-euclidean,Elf,2,1,1,0.1000,1,50,0.989100,2422.590700
fashion-mnist-784-euclidean,Elf,2,1,1,0.1000,1,60,0.990100,2861.770100
fashion-mnist-784-euclidean,Elf,2,1,1,0.2000,1,10,0.959300,1021.318300
fashion-mnist-784-euclidean,Elf,2,1,1,0.2000,1,20,0.980700,1398.462800
